model_node_id,nucleus_id,pt_root_id,pt_supervoxel_id,session,scan_idx,n_functional_mappings,cell_class,broad_cell_type,microns_mtype,functional_area,status_axon,strategy_axon,status_dendrite,strategy_dendrite,biologically_eligible,skeleton_retrieved,skeleton_error,cave_skeleton_file,cave_skeleton_source,cave_skeleton_sha256,n_skeleton_points_x,n_roots,root_point_id,root_type,n_soma_points_x,n_axon_points_x,n_basal_or_generic_dendrite_points,n_apical_points_x,n_dendrite_points_x,apical_annotation_present,n_unknown_points,finite_coordinates,finite_radii,positive_radii,has_nonpositive_radius,n_nonpositive_radius_points,requires_radius_normalization,n_nonfinite_radii,unique_point_ids,valid_parent_references,missing_parent_ids,self_parent_point_ids,acyclic,connected,allowed_types,morphio_loadable,morphio_error,bmtk_neuron_loadable,bmtk_neuron_error,cave_morphology_eligible,soma_x_um,soma_y_um,soma_z_um,skeleton_file,skeleton_version,functional_mapping_complete,functional_trace_acquisition_deferred,n_functional_units,functional_unit_ids,functional_fields,n_skeleton_points_y,n_soma_points_y,n_axon_points_y,n_dendrite_points_y,n_apical_points_y,n_radius_normalized_points,n_mapped_intrinsic_synapses,n_mapped_external_incoming_synapses,n_unresolved_incoming_synapses,placement_distance_median_um,placement_distance_p95_um,placement_distance_max_um
0,260303,864691136275332030,88396406217513570,9,3,1,excitatory_neuron,4P,L4a,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691136275332030.swc,immutable_raw_cache,3a31a590523ec13886ed556097ca74a0b1e7917d8a10c2f982522d573dd7551f,6010,1,0,1,1,4466,1543,0,1543,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,687.04,638.336,805.76,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691136275332030.swc,4,True,True,1,[2518],[2],6010,1,4466,1543,0,0,4,2867,0,1.5638094134622884,3.4879289879033655,13.344146367653028
1,260621,864691135563052513,88818275286496247,9,3,1,excitatory_neuron,4P,L4b,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135563052513.swc,immutable_raw_cache,a04ad11715918e4eeebf466e7e8053cdd1eaf3422fbf1f8594b165d71d2d61cf,6825,1,0,1,1,5765,1059,0,1059,False,0,True,True,False,True,1,True,0,True,True,[],[],True,True,True,True,,True,,True,699.904,627.52,867.08,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135563052513.swc,4,True,True,1,[2243],[2],6825,1,5765,1059,0,1,2,1774,0,1.5934075251700606,3.6603346578395604,8.953034565462206
2,260625,864691136043283030,88888987628025797,9,3,1,excitatory_neuron,4P,L4b,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691136043283030.swc,immutable_raw_cache,951f52ef73af2aff8276d6813466407d87e7371ef052a9df26df6c091b599096,4291,1,0,1,1,3134,1156,0,1156,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,701.312,638.592,866.32,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691136043283030.swc,4,True,True,1,[5108],[4],4291,1,3134,1156,0,0,1,1462,0,1.517418535152268,3.727344219191001,11.764554784678612
3,260628,864691135375888840,88889056280708012,9,3,1,excitatory_neuron,4P,L4a,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135375888840.swc,immutable_raw_cache,1cc7dd6469de39ef19cc85d06ed3df719372131f258a9216ad9ed8afa85c25c4,5076,1,0,1,1,3730,1345,0,1345,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,701.312,640.64,856.64,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135375888840.swc,4,True,True,1,[5297],[4],5076,1,3730,1345,0,0,0,1966,0,1.4418501881408634,3.3959450338151127,8.5334188635288
4,260648,864691136336274867,89451868861833821,9,3,1,excitatory_neuron,4P,L4b,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691136336274867.swc,immutable_raw_cache,7a0c639fc16fe165d626e16a6d09d9a1be43d8088f9e52778b160b21e8e82f2d,5311,1,0,1,1,4107,1203,0,1203,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,717.056,636.928,861.84,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691136336274867.swc,4,True,True,1,[4917],[4],5311,1,4107,1203,0,0,0,1479,0,1.253136124098494,3.3260854450173745,9.080908952711331
5,260689,864691137022275182,87973850423757514,9,3,1,excitatory_neuron,4P,L4b,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691137022275182.swc,immutable_raw_cache,97021463e84a19d2db1ca597fe98b6a0200bb8a9ceca3ea3bb9e7d6b0903e538,4787,1,0,1,1,3547,1239,0,1239,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,675.008,628.992,897.64,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691137022275182.swc,4,True,True,1,[2091],[2],4787,1,3547,1239,0,0,2,2488,0,1.507684239892931,3.359994864939735,12.305528842833061
6,262547,864691135375895752,89030274670913953,9,3,1,excitatory_neuron,4P,L4a,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135375895752.swc,immutable_raw_cache,d45e7a5795e7c064eb2f309bfef151b4d07b6edb30a61280e7fee4ffbf08ff9f,4371,1,0,1,1,3092,1278,0,1278,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,705.92,654.336,805.8,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135375895752.swc,4,True,True,1,[5524],[4],4371,1,3092,1278,0,0,8,2423,0,1.364206846411053,3.306978847505416,8.981375558890669
7,262654,864691135783322704,88255943607399568,9,3,1,excitatory_neuron,4P,L4b,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135783322704.swc,immutable_raw_cache,e1b1027ce844d59513a04ac84f906038fb2c1dfddd2f4a20be40563ef7adf420,3473,1,0,1,1,2425,1047,0,1047,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,682.24,647.68,817.72,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135783322704.swc,4,True,True,1,[4946],[4],3473,1,2425,1047,0,0,1,1482,0,1.3716488340155333,3.558219166061086,9.725237023186732
8,262698,864691135294441654,89029862421466994,9,3,1,excitatory_neuron,4P,L4b,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135294441654.swc,immutable_raw_cache,531ad17dc0a2d31c0d1d5fc5f76807dbb51ee72bc43fcd207f8f3e7812a27539,4102,1,0,1,1,2943,1158,0,1158,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,705.728,642.88,837.2,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135294441654.swc,4,True,True,1,[5337],[4],4102,1,2943,1158,0,0,0,1289,0,1.1522024174565761,3.0654153673059037,8.901370103033093
9,262810,864691135369693945,88818893694743933,9,3,2,excitatory_neuron,4P,L4b,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135369693945.swc,immutable_raw_cache,ec4de76ee398f3a83e14b794a8d9f3d27b12a2ce49efde94ed304f835c639747,4952,1,0,1,1,3940,1011,0,1011,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,699.264,647.744,848.84,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135369693945.swc,4,True,True,2,"[4918, 8403]","[4, 6]",4952,1,3940,1011,0,0,2,1766,0,1.5644340509297365,3.54734286036184,10.187179094691302
