bmtk_node_id,model_node_id,nucleus_id,pt_root_id,microns_mtype,simulation_success,baseline_vm_mean_mv,stimulus_vm_mean_mv,peak_vm_mv,minimum_vm_mv,spike_count,first_spike_time_ms,first_spike_latency_ms,stimulus_firing_rate_hz
0,0,260303,864691136275332030,L4a,True,-84.62648194363324,-54.20315882812161,-7.240808557820593,-85.43445404176948,5,217.70000000011524,17.70000000011524,10.0
1,1,260621,864691135563052513,L4b,True,-84.6268330132716,-52.489150479982406,-1.9666102519841537,-87.82238769424983,7,211.30000000011376,11.300000000113755,14.0
2,2,260625,864691136043283030,L4b,True,-84.63311762069844,-50.71149766619176,0.26351584610928036,-91.29032156540525,6,209.6000000001134,9.600000000113397,12.0
3,3,260628,864691135375888840,L4a,True,-84.63335126618544,-52.41473687228923,-1.656991350775725,-87.89947294543504,6,212.60000000011408,12.600000000114079,12.0
4,4,260648,864691136336274867,L4b,True,-84.62989388380281,-52.209357854954376,0.2333957772107258,-90.44208561461858,7,210.6000000001136,10.600000000113596,14.0
5,5,260689,864691137022275182,L4b,True,-84.6305534724956,-51.3541806820391,-4.526673277327726,-88.68152238661925,5,212.200000000114,12.200000000113988,10.0
6,6,262547,864691135375895752,L4a,True,-84.63416624881799,-52.67830637735305,-2.655077349737323,-88.7454154845566,6,212.60000000011408,12.600000000114079,12.0
7,7,262654,864691135783322704,L4b,True,-84.636531110282,-50.245234674621464,1.0027206321793036,-91.65726381442214,6,208.8000000001132,8.800000000113187,12.0
8,8,262698,864691135294441654,L4b,True,-84.63246381904001,-51.94595093723732,4.951944613749051,-88.82069326755548,7,209.10000000011328,9.100000000113283,14.0
9,9,262810,864691135369693945,L4b,True,-84.63052540797155,-52.1382316083868,0.6100316933489802,-89.26200646178116,7,210.6000000001136,10.600000000113596,14.0
10,10,262892,864691136196418518,L4b,True,-84.64217313068308,-50.604288623949316,-1.98979238136761,-88.50156672203076,5,211.4000000001138,11.400000000113806,10.0
11,11,262893,864691135563017953,L4a,True,-84.62900484476343,-51.989561366514046,-3.667089203803793,-90.39527895394451,6,212.300000000114,12.30000000011401,12.0
12,12,296508,864691135343752901,L4a,True,-84.62888334785603,-53.65206947224342,-0.8582482911811207,-85.53466187143822,6,212.50000000011408,12.500000000114085,12.0
13,13,296513,864691135385310443,L4a,True,-84.62293811758695,-54.97409282833082,-1.8892599272005004,-88.81273351435978,7,215.10000000011465,15.100000000114647,14.0
14,14,296680,864691136239902780,L4b,True,-84.6382925495707,-50.766231917138555,0.5917960160299867,-91.39202923736572,6,210.6000000001136,10.600000000113596,12.0
15,15,296750,864691135646928111,L4b,True,-84.62699670492123,-51.39043228919721,-3.707047607357105,-88.35702620549024,7,211.20000000011376,11.20000000011376,14.0
16,16,296779,864691135361231448,L4a,True,-84.63039886985224,-52.714662961784796,-2.4062519232529804,-87.9142555607499,6,212.50000000011408,12.500000000114085,12.0
17,17,298916,864691135577816862,L4b,True,-84.62862489006459,-51.57353560652798,-1.307936838779793,-89.0818789594603,7,210.1000000001135,10.10000000011351,14.0
18,18,299060,864691135892355977,L4a,True,-84.63221576623428,-51.942587407375754,-5.227431441249042,-89.89007568313728,5,214.5000000001145,14.500000000114511,10.0
19,19,299068,864691135481148614,L4a,True,-84.62188920004729,-52.80587747381547,-10.97485774971968,-88.51511215850759,5,217.70000000011524,17.70000000011524,10.0
