model_node_id,nucleus_id,microns_mtype,network_role,n_contacts_from_source,simulation_success,baseline_vm_mean_mv,analysis_peak_vm_mv,max_depolarization_mv,spike_count,first_spike_time_ms
0,260303,L4a,direct_target,2,True,-84.62648194363324,-83.46685395513863,1.1596279884946057,0,
1,260621,L4b,other,0,True,-84.6268330132716,-84.62646246839104,0.00037054488055332513,0,
2,260625,L4b,other,0,True,-84.63311762069844,-84.63252974214639,0.0005878785520536667,0,
3,260628,L4a,other,0,True,-84.63335126618544,-84.63273183141642,0.0006194347690211544,0,
4,260648,L4b,other,0,True,-84.62989388380281,-84.62944034396801,0.0004535398347940145,0,
5,260689,L4b,direct_target,1,True,-84.6305534724956,-83.87754450316896,0.7530089693266433,0,
6,262547,L4a,direct_target,4,True,-84.63416624881799,-81.78116208927199,2.8530041595460034,0,
7,262654,L4b,other,0,True,-84.636531110282,-84.63581111540448,0.000719994877513841,0,
8,262698,L4b,other,0,True,-84.63246381904001,-84.63194248444373,0.0005213345962857829,0,
9,262810,L4b,other,0,True,-84.63052540797155,-84.63004338515968,0.00048202281186604523,0,
10,262892,L4b,other,0,True,-84.64217313068308,-84.64109112379315,0.0010820068899306534,0,
11,262893,L4a,other,0,True,-84.62900484476343,-84.62855127826845,0.0004535664949827378,0,
12,296508,L4a,direct_target,1,True,-84.62888334785603,-83.88147720712988,0.7474061407261559,0,
13,296513,L4a,stimulated_source,0,True,-84.62293811758695,-1.8892599272005004,82.73367819038646,4,215.10000000011465
14,296680,L4b,other,0,True,-84.6382925495707,-84.63746439656624,0.0008281530044627061,0,
15,296750,L4b,other,0,True,-84.62699670492123,-84.62660393652807,0.00039276839315505185,0,
16,296779,L4a,other,0,True,-84.63039886985224,-84.62990500610209,0.0004938637501510357,0,
17,298916,L4b,other,0,True,-84.62862489006459,-84.62819907844457,0.0004258116200190898,0,
18,299060,L4a,direct_target,1,True,-84.63221576623428,-83.98932483860646,0.6428909276278176,0,
19,299068,L4a,other,0,True,-84.62188920004729,-84.62161303332734,0.0002761667199564499,0,
