source_rank,model_node_id,nucleus_id,pt_root_id,microns_mtype,n_distinct_targets,n_outgoing_contacts,selected_for_stimulation
1,13,296513,864691135385310443,L4a,5,9,True
2,16,296779,864691135361231448,L4a,4,7,False
3,8,262698,864691135294441654,L4b,4,4,False
4,0,260303,864691136275332030,L4a,3,4,False
5,3,260628,864691135375888840,L4a,3,4,False
6,17,298916,864691135577816862,L4b,2,4,False
7,4,260648,864691136336274867,L4b,2,3,False
8,5,260689,864691137022275182,L4b,2,3,False
9,9,262810,864691135369693945,L4b,2,3,False
10,1,260621,864691135563052513,L4b,2,2,False
11,2,260625,864691136043283030,L4b,2,2,False
12,6,262547,864691135375895752,L4a,1,2,False
13,15,296750,864691135646928111,L4b,1,2,False
14,7,262654,864691135783322704,L4b,1,1,False
15,10,262892,864691136196418518,L4b,1,1,False
16,11,262893,864691135563017953,L4a,1,1,False
17,14,296680,864691136239902780,L4b,1,1,False
18,18,299060,864691135892355977,L4a,1,1,False
19,12,296508,864691135343752901,L4a,0,0,False
20,19,299068,864691135481148614,L4a,0,0,False
